城市,区域,岗位名称,薪资待遇,应聘条件,公司名称,公司简介,公司业务,福利待遇
"广州","天河区","java开发工程师","15k-25k","经验3-5年 / 本科","添楚瀚才传媒","""工具类产品","IT技术服务｜咨询","专业服务｜咨询 / 未融资 / 150-500人"""
"广州","天河区","java开发工程师","5k-9k","经验不限 / 本科","智乐联","""物联网","网络通信 / 不需要融资 / 15-50人""",""
"广州","天河区","Java开发实习生","3k-4k","经验在校/应届 / 大专","广州新升商务信息服务有限公司","""电商平台","内容社区 / 不需要融资 / 50-150人""",""
"广州","天河区","资深Java开发工程师","13k-19k","经验5-10年 / 本科","名特网络","房地产｜建筑｜物业 / 不需要融资 / 150-500人","","""“五险一金"
"广州","天河区","高级java开发工程师","12k-24k","经验3-5年 / 本科","线条科技","营销服务｜咨询 / 不需要融资 / 150-500人","","“五险一金、加班补贴、下午茶、节假日福利”"
"广州","天河区","java开发工程师","10k-15k","经验不限 / 本科","广东省水科院","其他 / 不需要融资 / 150-500人","","“事业单位，团队氛围好”"
"广州","天河区","java开发工程师","8k-12k","经验1-3年 / 本科","乐在信息","软件开发 / 未融资 / 少于15人","","“五险一金；带薪年假；固定下午茶；团建旅游；”"
"广州","天河区","JAVA开发工程师-支付方向","15k-25k","经验3-5年 / 本科","建信金科","科技金融 / 不需要融资 / 2000人以上","","“国有企业 福利完善”"
"广州","天河区","java开发","11k-20k","经验3-5年 / 大专","拓维云创","""教育","游戏 / 上市公司 / 2000人以上""",""
"广州","天河区","高级java工程师(j11084)","15k-25k","经验5-10年 / 本科","广州中康数字科技有限公司","""IT技术服务｜咨询","人工智能服务 / 不需要融资 / 500-2000人""",""
"广州","天河区","java中级工程师","10k-15k","经验3-5年 / 本科","智友网络","软件服务｜咨询 / 不需要融资 / 15-50人","","“双休两次加薪，晋升空间大，氛围好精英团队”"
"广州","天河区","Java高级工程师","10k-20k","经验3-5年 / 本科","智友网络","软件服务｜咨询 / 不需要融资 / 15-50人","","“氛围轻松，有挑战 ，福利多，前景好，没有996”"
"广州","天河区","java（英语六级）","16k-21k","经验3-5年 / 本科","中电金信","""IT技术服务｜咨询","软件服务｜咨询 / B轮 / 2000人以上""",""
"广州","天河区","java中高级开发工程师","20k-35k","经验5-10年 / 本科","中电金信","""IT技术服务｜咨询","软件服务｜咨询 / B轮 / 2000人以上""",""
"广州","天河区","大数据java开发","15k-18k","经验3-5年 / 本科","润建股份","IT技术服务｜咨询 / 上市公司 / 2000人以上","","“周末双休，节日礼品...”"
"广州","天河区","JAVA开发工程师 (MJ000999)","12k-18k","经验3-5年 / 本科","XAG极飞科技","人工智能服务 / C轮 / 500-2000人","","“五险一金 周末双休”"
"广州","天河区","java开发工程师","3k-5k","经验在校/应届 / 本科","盛祺信息","IT技术服务｜咨询 / 上市公司 / 150-500人","","“双休+朝九晚六+五险一金+年底奖金”"
"广州","天河区","Java开发工程师","8k-13k","经验1-3年 / 本科","北京三维天地科技股份有限公司","","","""“五险一金"
"广州","天河区","Java开发工程师","9k-11k","经验3-5年 / 大专","广东省文理科教研究院","教育｜培训 / 不需要融资 / 少于15人","","""“社保"
"广州","天河区","java全栈开发工程师","10k-16k","经验3-5年 / 本科","紫晶科技","其他 / 不需要融资 / 150-500人","","""“定期体检"
"广州","天河区","JAVA开发工程师(J11882)","10k-20k","经验在校/应届 / 本科","建信金科","科技金融 / 不需要融资 / 2000人以上","","“国企背景、金融科技、福利齐全”"
"广州","天河区","游戏Java开发","10k-18k","经验3-5年 / 大专","曦恩网络","游戏 / 未融资 / 15-50人","","“团队氛围好、福利待遇好、包吃住”"
"广州","天河区","系统开发专员（Java）","6k-12k","经验1-3年 / 本科","周生生ChowSangSang","批发｜零售 / 上市公司 / 2000人以上","","“知名企业”"
"广州","天河区","java培训讲师","8k-16k","经验1-3年 / 大专","计划通","软件服务｜咨询 / 未融资 / 15-50人","","“Java培训”"
"广州","天河区","中级Java开发工程师(W1923)","12k-20k","经验3-5年 / 本科","广州骏伯","营销服务｜咨询 / 上市公司 / 150-500人","","“双休 五险一金”"
